cuDensity,cuThermCond,cuSpecHeat
10177.446182401627,369.0229834108295,421.3093733729424
9468.922907783157,389.966517752935,507.94946203942635
8224.527012906097,399.396843319214,445.07723617061913
9737.809263977639,409.4952044192194,413.9261963049396
7419.351212355948,357.3847489845619,411.76464489685833
7837.257910243629,390.9304690595186,364.47418407473987
7962.146498066673,371.0517315796261,473.8647065747936
7873.324385514241,385.8060785298181,411.045114076761
8263.087011335507,279.8621639962462,422.4680414546308
8856.72966450257,384.3005614503898,378.90641751388034
8660.813417199472,409.6969481193535,395.13677193103547
8585.785168089365,391.24700914107694,433.06613006871135
8516.073184815838,431.3325559035307,395.7173857874398
8407.635864694179,345.401639195183,397.1508327410033
7345.468196197107,394.7251359970848,471.14654739611814
8937.413064006902,355.2984785160979,394.34450046014894
9391.748805642885,422.1191552080255,415.47577599517984
9017.434858851711,316.2241700919089,325.3230164927261
7948.660737444975,367.26206823971796,410.0756656811135
11135.334301491537,398.63765548426517,438.18150372065116
9112.88201015711,432.3749089825826,347.0941937576675
11124.437496885104,415.0190409216398,427.956636268965
7893.124249671223,377.7224506103876,451.36379249360385
8451.348785282908,427.54696004286683,398.41974064979655
8736.894582782466,345.3408695684804,425.63718568912293
7551.87755893029,401.2795052837559,368.8413768366346
8386.489867646109,410.8148504561435,496.56212044448057
7925.035486634159,368.33742390528045,394.1197817838631
8348.79850504932,476.3128293802728,437.7398652769581
8923.767949496438,413.9833282361787,436.5168769530835
8340.202109042022,372.54965233431454,406.5974389613285
9744.239152091779,383.003189053846,357.64610640939094
10382.178897858761,342.36129012299443,345.51862376134227
6740.659228961069,354.0752360261272,319.6761956893003
9954.000958825347,359.2311069423219,452.35214662701287
8692.815793763893,432.70355355367434,481.3904092276505
9407.897386666647,396.236236513835,419.5017765803515
8270.411917608275,425.0695419667267,423.25715520475404
7979.883711432308,354.2285598594177,400.68825928511717
8274.157126680497,428.94578721314235,413.594272277906
9795.540173594945,399.8966908348526,365.62146030894263
8803.185767572397,411.8170371345416,411.4992876637288
9386.59275747374,465.36364694704866,439.1577589305684
9721.065680390138,431.7597161857521,402.93179245752594
8550.383361639839,326.13627849617245,433.70198542773255
7538.485704472963,427.3947868876877,403.2203941873415
9232.462772423238,449.35954603110997,344.6632991736544
8856.480531153611,342.1733372517645,445.3670907234151
9390.30911958456,370.13781577545933,386.3586503130875
7868.247801783599,365.1591274676988,345.2323386962125
9605.652986684085,362.70586817404285,447.611283938827
8795.749576769285,344.5995712212889,394.5569726227774
9076.184825520131,306.92985473635053,438.0744780346228
10180.15969824761,366.1651559935873,353.07081335699024
8083.965421958527,421.51817220264786,390.5780951728188
7710.808850296815,356.63331836755435,428.7233600466654
9598.186354218953,360.40096836151827,467.6129319720818
7418.479227236268,360.1988333224498,390.69677454783624
8270.856836674684,394.02274725752085,402.4363802030774
8355.840917956946,450.3012681884768,376.51819214948745
8984.573206506735,424.9751365374538,362.5171733128358
7398.587680971994,363.1770291994909,436.72421553830026
9342.616515097123,427.60464958996533,420.85232040100215
8543.19067122954,384.82805841574447,403.04502051340165
9441.481501547214,327.29068039872277,424.0018803803082
8044.192710991889,368.3242715242282,358.9916111909927
8148.945658588112,389.52691063935475,367.57034325652455
9711.614768462307,413.1723263455899,350.15994622037425
10172.841288544243,334.77181256311815,390.2122853410101
7878.224320123983,381.01311129475795,404.15298479853135
8549.903228530484,373.671068634762,443.8121727955311
9050.11555938871,287.0993571041269,381.5135170160737
9921.166432042279,357.18752874315675,382.82237519945886
7789.537456846583,329.83206996955124,476.61809080493197
9509.690730211214,402.2593986531472,416.665555268374
8801.00720255388,365.95916766668705,353.2619976279794
8773.254422669352,348.87966377794646,397.11395915505796
9603.984674188066,430.43771310143916,327.7486090015422
8679.159724423698,365.37842366880614,367.57012416392365
8332.3479168122,415.19263336714175,394.65653506717234
7528.822783726467,408.6813123327257,354.29897073419556
9259.299427223777,401.12086418369734,396.4678865502925
9431.283796860174,442.75831448065185,407.1786221830715
9070.403162248776,409.04275282222596,492.3071194440251
8564.499990465447,411.004746877211,348.57666450847256
8997.90900360181,451.4358515337913,397.5212909759453
8463.2580997519,385.9376824423227,355.0684108481435
8570.96572853978,397.37686387661904,455.8642933252665
8171.423235156426,392.2435560668387,378.8978085829804
8842.600946064,376.006963497334,419.8876913732214
8153.176818747051,380.0304238488186,430.30866171858884
9799.32375508275,302.3612108763806,480.62123112815414
9334.917457848187,473.85276965965414,421.29865352653894
7776.2193888042,359.9907030068286,536.5945733529792
8578.657977982253,427.2408638793692,285.0675334472519
9698.173303763886,418.5722608993047,411.3943247725642
7839.6639979902175,427.1567843785064,433.5779066666539
9659.183662965472,388.02514862671546,344.8402296725378
10282.373239618813,352.7774161184796,378.9611112459055
8227.68813466384,316.85739254456837,419.1574202428919
8755.43786543614,437.35099877203675,411.77183205091706
10691.598698367101,380.6692227406845,405.5461339938779
7253.050215741787,300.7519194309113,424.84006889108696
7479.251709093694,355.3907796767809,373.94559761690715
8342.295574230191,387.8384660120562,382.08650423337644
8499.98126996488,445.4596563208563,333.884623858562
9429.440173515923,419.2943493876436,395.1196007834135
9378.177129951388,380.8789922703869,415.9359605300583
8870.815811728395,404.3417107281287,330.0431837689147
8745.650915274957,452.01489383592866,431.4043378455085
10046.091212535273,384.9456873517386,404.0145936126748
8654.370326219148,385.3950075302249,420.86688725173195
9719.539600561739,399.4867712857719,464.0858673068169
8769.953663960012,356.6928474191049,385.906987817412
8831.380378481286,355.8504693880725,426.2856225842663
10410.486086502615,338.8896142237238,437.9342216445021
8690.810695963422,419.1973641309156,418.531117862671
8590.095270257872,346.8875565146827,400.91367471721
7574.71907000406,356.3328047360602,404.54754180054726
8388.28870824186,368.7615431483949,393.22184881531075
11327.494127076998,389.04174557882,431.51126177147165
9812.315694442561,294.07979794804646,331.0705344623743
9434.646773912715,397.0088853512999,430.7851591986535
9104.673669250971,421.03559657397136,428.4289838063657
10832.195704557058,398.78870667801624,423.58430878603895
9564.727999433504,421.4710032350345,405.93675356125414
8171.414969897114,342.894779300925,361.3065835931374
